2025,draft,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
44,44,BRK,Kessler Edwards,Pepperdine,4,178,2255,645,390,111,0.428,0.36,0.786,12.7,3.6,2.2,0.6,2.7,0.058,-2.9,-0.5
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,4,216,3142,1463,482,422,0.402,0.304,0.728,14.5,6.8,2.2,2,2.1,0.032,-1.5,0.4
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,0,0,,1,0,0,0,0,-0.495,-27.7,0
48,48,ATL,Sharife Cooper,Auburn,2,17,49,7,5,5,0.2,0.143,,2.9,0.4,0.3,0.3,-0.3,-0.292,-17.1,-0.2
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,1,3,10,3,1,0,0.5,,0.5,3.3,1,0.3,0,0,0.029,-8,0
51,51,MEM,Brandon Boston Jr.,Kentucky,4,147,2346,1101,327,176,0.412,0.328,0.781,16,7.5,2.2,1.2,1,0.021,-3.7,-1
52,52,DET,Luka Garza,Iowa,5,141,1212,714,312,66,0.5,0.331,0.706,8.6,5.1,2.2,0.5,4,0.158,-1.4,0.2
53,53,PHI,Charles Bassey,Western Kentucky,5,115,1288,495,498,95,0.625,0.231,0.637,11.2,4.3,4.3,0.8,3.9,0.144,0.3,0.7
54,54,IND,Sandro Mamukelashvili,Seton Hall,5,212,2597,1203,690,217,0.482,0.354,0.743,12.3,5.7,3.3,1,6.7,0.123,0.2,1.5
55,55,OKC,Aaron Wiggins,Maryland,5,285,5768,2500,906,392,0.501,0.39,0.792,20.2,8.8,3.2,1.4,13.7,0.114,-0.8,1.7
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,0.5,3.5,0.5,0,0.5,0,0.164,6,0
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,58,NYK,Jericho Sims,Texas,5,207,2765,490,799,115,0.718,0,0.591,13.4,2.4,3.9,0.6,7.2,0.125,-1.9,0.1
59,59,BRK,RaiQuan Gray,Florida State,2,4,74,39,16,13,0.552,0.417,1,18.5,9.8,4,3.3,0.2,0.149,2.9,0.1
60,60,IND,Georgios Kalaitzakis,,1,13,213,86,21,12,0.463,0.385,0.467,16.4,6.6,1.6,0.9,-0.1,-0.024,-7,-0.3
,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,6,398,13843,9604,2094,1666,0.449,0.367,0.805,34.8,24.1,5.3,4.2,26.9,0.093,1.9,13.5
2,2,GSW,James Wiseman,Memphis,5,149,2819,1354,834,110,0.56,0.262,0.683,18.9,9.1,5.6,0.7,4.3,0.073,-4,-1.4
3,3,CHO,LaMelo Ball,,6,245,7789,5124,1465,1834,0.419,0.36,0.839,31.8,20.9,6,7.5,14.1,0.087,2.7,9.3
4,4,CHI,Patrick Williams,Florida State,6,295,7869,2772,1186,430,0.448,0.392,0.763,26.7,9.4,4,1.5,8.5,0.052,-2.3,-0.7
5,5,CLE,Isaac Okoro,Auburn,6,349,9119,2831,970,560,0.466,0.353,0.731,26.1,8.1,2.8,1.6,16.4,0.086,-2.1,-0.2
6,6,ATL,Onyeka Okongwu,USC,6,328,7552,3304,2212,454,0.603,0.337,0.756,23,10.1,6.7,1.4,26.6,0.169,0.5,4.8
7,7,DET,Killian Hayes,,5,216,5641,1758,637,1121,0.383,0.281,0.777,26.1,8.1,2.9,5.2,-0.2,-0.002,-3.8,-2.6
8,8,NYK,Obi Toppin,Dayton,6,365,6320,3116,1251,433,0.521,0.353,0.776,17.3,8.5,3.4,1.2,16.7,0.127,1,4.8
9,9,WAS,Deni Avdija,,6,380,10398,4586,2385,1137,0.463,0.342,0.76,27.4,12.1,6.3,3,17,0.078,-0.6,3.7
10,10,PHO,Jalen Smith,Maryland,6,289,4675,2470,1537,244,0.504,0.336,0.753,16.2,8.5,5.3,0.8,12.8,0.131,-0.1,2.2
11,11,SAS,Devin Vassell,Florida State,6,323,9060,4594,1217,836,0.444,0.37,0.81,28,14.2,3.8,2.6,13.2,0.07,-0.5,3.3
12,12,SAC,Tyrese Haliburton,Iowa State,5,333,10998,5842,1218,2947,0.477,0.392,0.855,33,17.5,3.7,8.8,37.6,0.164,4.8,18.9
13,13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,0.397,0.294,0.848,13.3,5.2,1.3,1.8,1.3,0.036,-3.5,-0.6
14,14,BOS,Aaron Nesmith,Vanderbilt,6,299,6511,2740,995,322,0.456,0.384,0.825,21.8,9.2,3.3,1.1,10.9,0.08,-1.9,0.2
15,15,ORL,Cole Anthony,UNC,6,341,8290,4174,1431,1313,0.419,0.341,0.841,24.3,12.2,4.2,3.9,10.7,0.062,-0.7,2.7
16,16,POR,Isaiah Stewart,Washington,6,325,7950,2809,2295,429,0.508,0.349,0.73,24.5,8.6,7.1,1.3,16.6,0.1,-1.6,0.8
17,17,MIN,Aleksej Pokusevski,,4,168,3429,1253,778,327,0.391,0.304,0.702,20.4,7.5,4.6,1.9,-0.2,-0.002,-3.1,-1
18,18,DAL,Josh Green,Arizona,5,291,6415,1941,777,448,0.482,0.38,0.687,22,6.7,2.7,1.5,9.2,0.069,-2.9,-1.5
19,19,BRK,Saddiq Bey,Villanova,5,313,9405,4391,1657,586,0.411,0.353,0.833,30,14,5.3,1.9,15.7,0.08,-0.6,3.2
20,20,MIA,Precious Achiuwa,Memphis,6,334,6689,2522,1886,327,0.487,0.301,0.6,20,7.6,5.6,1,12.2,0.088,-2.3,-0.5
21,21,PHI,Tyrese Maxey,Kentucky,6,338,10988,6851,1047,1553,0.462,0.381,0.868,32.5,20.3,3.1,4.6,29.8,0.13,1.7,10.3
22,22,DEN,Zeke Nnaji,Arizona,6,262,3097,1079,582,102,0.509,0.359,0.655,11.8,4.1,2.2,0.4,6.7,0.105,-2.7,-0.5
23,23,NYK,Leandro Bolmaro,,2,49,309,56,50,28,0.27,0.227,0.846,6.3,1.1,1,0.6,-0.3,-0.048,-7.8,-0.5
24,24,MIL,R.J. Hampton,,4,170,3116,1155,466,307,0.408,0.338,0.679,18.3,6.8,2.7,1.8,0.8,0.013,-3.8,-1.4
25,25,OKC,Immanuel Quickley,Kentucky,6,346,9004,4900,1198,1344,0.424,0.376,0.851,26,14.2,3.5,3.9,23.4,0.125,1.3,7.5
