Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
277,Dalton Knecht,24,LAL,SF,19,1,15.8,2.5,5.3,0.465,1.1,3,0.351,1.4,2.3,0.614,0.564,0.5,0.8,0.667,0.5,1.5,1.9,0.6,0.4,0.4,0.4,1.4,6.5,
278,Josh Okogie,27,HOU,SG,20,14,20.8,2.2,5,0.44,1.1,2.7,0.396,1.2,2.4,0.489,0.545,1.1,1.5,0.724,1.2,1.6,2.8,1,1.4,0.2,0.8,1.9,6.5,
279,Drake Powell,20,BRK,SG,15,0,19.1,2.3,4.7,0.493,0.7,2,0.367,1.6,2.7,0.585,0.57,1.1,1.2,0.944,0.3,1.5,1.8,2,0.9,0.1,1.1,1.8,6.5,
280,Ben Sheppard,24,IND,SG,22,11,25,2.4,6.7,0.354,1.1,4,0.273,1.3,2.7,0.475,0.435,0.7,0.9,0.789,0.8,3.3,4.1,2,0.6,0.1,0.7,2,6.5,
281,Jevon Carter,30,CHI,PG,13,0,13.7,2.1,5.2,0.397,1.6,4,0.404,0.5,1.2,0.375,0.551,0.6,0.6,1,0.4,1.1,1.5,1.2,0.6,0,0.5,1,6.4,
282,Dru Smith,28,MIA,SG,23,0,17.1,2.3,5,0.448,0.8,2.3,0.365,1.4,2.8,0.516,0.53,1,1.3,0.774,1,1.7,2.7,2.9,1.4,0.3,1,1.7,6.4,
283,Jeremy Sochan,22,SAS,PF,16,0,17.1,2.6,5.2,0.506,0.4,1.6,0.28,2.2,3.6,0.603,0.548,0.7,1,0.688,1.4,2.3,3.6,1.5,0.6,0.2,0.9,2.5,6.4,
284,Javonte Green,32,DET,SG,23,3,18.6,2.1,5,0.417,0.8,2.5,0.328,1.3,2.5,0.509,0.5,1.3,1.7,0.769,0.7,2.1,2.8,0.9,0.9,0.4,0.7,1.5,6.3,
285,Jaden Hardy,23,DAL,SG,19,0,10.7,2,4.9,0.409,1.3,3.1,0.424,0.7,1.8,0.382,0.543,0.9,1.2,0.818,0.2,1,1.2,0.5,0.2,0.1,0.8,1.1,6.3,
286,Brook Lopez,37,LAC,C,17,0,14.4,2.2,5.5,0.404,1.4,3.8,0.359,0.9,1.8,0.5,0.527,0.5,0.6,0.727,0.2,1.7,1.9,0.5,0.3,0.8,0.8,1.7,6.3,
287,Mac McClung,27,IND,SG,3,0,11.3,2.3,6,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1,1.3,0.75,0,1.3,1.3,0.3,1.7,0.3,0.7,2,6.3,
288,Pat Spencer,29,GSW,PG,15,0,14.1,2.3,5.4,0.432,0.6,1.5,0.391,1.7,3.9,0.448,0.488,1.1,1.2,0.889,0.8,1.3,2.1,2.8,0.7,0.1,0.7,1.3,6.3,
289,Justin Edwards,22,PHI,SF,20,5,17.2,2.2,5.4,0.407,1.3,3.5,0.362,1,2,0.487,0.523,0.5,0.6,0.909,0.6,1.3,1.9,1.4,0.7,0.3,0.9,1.9,6.2,
290,Walter Clayton,22,UTA,PG,18,0,16.5,2.1,5.1,0.402,0.8,2.7,0.306,1.2,2.4,0.512,0.484,1.2,1.2,1,0.4,1.8,2.2,3.4,0.5,0.2,1.4,1.9,6.1,
291,Luka Garza,27,BOS,C,19,1,13.1,2.1,3.7,0.571,0.6,1.3,0.44,1.5,2.4,0.644,0.65,1.3,1.6,0.774,2,1.5,3.5,0.8,0.3,0.4,0.4,2.6,6.1,
292,Yves Missi,21,NOP,C,16,6,20.4,2.6,4.8,0.553,0,0,,2.6,4.8,0.553,0.553,0.8,1.5,0.542,3.3,2.4,5.8,1.3,0.2,1.1,1.1,2,6.1,
293,Taurean Prince,31,MIL,SF,8,0,21.1,2.1,4.8,0.447,1.5,3.5,0.429,0.6,1.3,0.5,0.605,0.4,0.4,1,0,1.6,1.6,1,0.8,0.3,0.6,2.5,6.1,
294,Jahmai Mashack,23,MEM,SG,1,0,6,2,4,0.5,2,4,0.5,0,0,,0.75,0,0,,0,2,2,0,0,0,0,0,6,
295,Doug McDermott,34,SAC,SF,1,0,8,2,3,0.667,2,3,0.667,0,0,,1,0,0,,0,0,0,0,0,0,1,1,6,
296,Blake Wesley,22,POR,SG,6,0,16.3,2.3,5.7,0.412,0.3,1.7,0.2,2,4,0.5,0.441,1,1.7,0.6,0.3,2,2.3,3.2,1.7,0.2,1.2,2.3,6,
297,Mouhamed Gueye,23,ATL,PF,24,3,17.5,2.5,5,0.488,0.6,2.2,0.269,1.9,2.9,0.652,0.545,0.4,0.8,0.5,1.2,2.7,3.9,1,0.6,0.7,0.7,1.9,5.9,
298,Kevin Love,37,UTA,PF,13,0,14.5,1.8,4.2,0.436,1.2,3.2,0.366,0.7,1.1,0.643,0.573,1.1,1.4,0.778,1.3,3.2,4.5,1.8,0.3,0.4,0.8,1.7,5.9,
299,Tristan Vukcevic,22,WAS,C,18,1,10.8,2,4.2,0.474,0.4,1.7,0.267,1.6,2.6,0.609,0.526,1.4,1.9,0.743,0.5,1.6,2.1,0.9,0.4,0.5,1.1,1.4,5.9,
300,Alex Caruso,31,OKC,SG,15,0,18.8,2,5,0.4,1.1,3.2,0.354,0.9,1.8,0.481,0.513,0.5,0.7,0.8,0.3,2.1,2.4,2.5,1.6,0.3,1,1.1,5.7,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
301,Drew Eubanks,28,SAC,C,22,11,15.5,2.5,4,0.614,0,0.1,0.5,2.4,3.9,0.616,0.619,0.8,1.5,0.5,0.8,2.3,3.1,0.4,0.5,0.8,1,1.5,5.7,
302,Jamal Shead,23,TOR,PG,24,0,19.1,1.8,4.9,0.359,0.9,2.6,0.333,0.9,2.3,0.389,0.449,1.3,1.6,0.821,0.4,1.3,1.7,5.2,1.2,0.1,1.1,2,5.7,
303,Al Horford,39,GSW,C,13,1,21.5,1.9,6,0.321,1.3,4.4,0.298,0.6,1.6,0.381,0.429,0.5,0.5,1,0.8,3.5,4.4,2,1,1,1.2,1.5,5.6,
304,Jett Howard,22,ORL,SF,15,0,10.5,2.1,4.6,0.449,1.1,2.9,0.386,0.9,1.7,0.56,0.572,0.3,0.3,1,0.3,0.9,1.1,0.7,0.1,0.2,0.1,0.7,5.6,
305,Kris Murray,25,POR,SF,21,2,24.9,2.2,5,0.443,0.6,2,0.279,1.7,3,0.556,0.5,0.6,0.9,0.667,1.9,2,3.9,1.1,1.1,0.2,1,2,5.6,
306,Craig Porter Jr.,25,CLE,PG,21,0,17.3,2.3,4.3,0.533,0.7,1.6,0.424,1.6,2.7,0.596,0.611,0.4,0.7,0.533,1.3,1.9,3.1,2.4,1,0.6,0.8,1.2,5.6,
307,Tyrese Proctor,21,CLE,PG,18,0,12.4,1.8,5.2,0.344,1.1,3.4,0.311,0.7,1.8,0.406,0.446,1,1.2,0.857,0.2,1.1,1.3,1.4,0.3,0,0.4,1.3,5.6,
308,Jaylin Williams,23,OKC,PF,22,2,18.3,1.8,5,0.358,1.3,4.2,0.304,0.5,0.8,0.647,0.486,0.8,1.2,0.692,0.5,4.2,4.7,2.3,0.6,0.5,1,1.9,5.6,
309,Robert Williams,28,POR,C,15,1,15.3,2.7,4,0.667,0.1,0.5,0.125,2.6,3.5,0.75,0.675,0.2,0.5,0.429,2.1,3.3,5.5,0.7,0.6,1.7,0.4,1.3,5.6,
310,Lonzo Ball,28,CLE,PG,18,3,23.6,1.8,6.3,0.292,1.4,5.2,0.266,0.4,1.1,0.421,0.403,0.4,0.7,0.667,0.9,3.7,4.6,4.9,1.2,0.3,1.8,1.8,5.5,
311,Mike Conley,38,MIN,PG,22,5,19.4,1.6,4.3,0.379,1.1,3,0.379,0.5,1.3,0.379,0.511,1.1,1.2,0.926,0.4,1.5,1.8,3.3,0.6,0.1,0.7,1.7,5.5,
312,Jordan Hawkins,23,NOP,SG,19,0,15.6,2,5.8,0.342,1.1,3.2,0.328,0.9,2.6,0.36,0.432,0.4,0.6,0.667,0.4,1.4,1.8,0.9,0.2,0.1,0.5,0.7,5.5,
313,Jaxson Hayes,25,LAL,C,19,2,17.1,2.3,3.2,0.717,0.1,0.1,1,2.2,3.1,0.712,0.725,0.9,1.3,0.68,1.3,2.7,3.9,1.1,0.4,0.6,0.5,1.6,5.5,
314,Keon Ellis,26,SAC,SG,21,2,16.7,1.9,4.5,0.411,1.3,3.3,0.391,0.6,1.2,0.462,0.553,0.4,0.8,0.563,0.2,1,1.3,0.6,1.1,0.4,0.4,1.8,5.4,
315,Dean Wade,29,CLE,PF,22,3,22.3,1.8,4.8,0.381,1,3.5,0.295,0.8,1.2,0.63,0.49,0.7,1,0.696,0.9,2.9,3.8,1.7,0.8,0.6,0.3,2,5.4,
316,Ja'Kobe Walter,21,TOR,SG,21,6,16.8,1.9,4.5,0.411,1.1,2.9,0.393,0.7,1.6,0.441,0.537,0.6,0.8,0.75,0.9,1.3,2.2,0.8,1.1,0.1,0.7,2,5.4,
317,Ben Saraf,19,BRK,SG,11,5,16.6,1.7,4.9,0.352,0.7,2.6,0.276,1,2.3,0.44,0.426,1.1,1.4,0.8,0.5,1.2,1.6,2.7,0.7,0.3,2,1.4,5.3,
318,Gabe Vincent,29,LAL,PG,11,6,22.5,1.6,4.6,0.353,1.4,3.6,0.375,0.3,1,0.273,0.5,0.6,0.6,1,0.4,0.6,1,1.8,0.5,0.1,0.5,2.5,5.3,
319,Jalen Wilson,25,BRK,PF,17,0,15.1,1.6,4.6,0.354,1.1,3.2,0.333,0.6,1.5,0.4,0.468,0.9,1.2,0.762,0.1,0.9,1.1,0.6,0.2,0,0.6,1.2,5.3,
320,Karlo Matković,24,NOP,PF,13,0,11.9,2.3,3.2,0.714,0.3,0.7,0.444,2,2.5,0.788,0.762,0.2,0.6,0.375,0.6,2.4,3,0.8,0.2,0.5,0.5,1.3,5.2,
321,Terrence Shannon Jr.,25,MIN,SG,13,0,14.3,1.6,3.8,0.42,0.8,1.8,0.417,0.8,2,0.423,0.52,1.2,1.6,0.762,0.2,1.4,1.6,0.8,0.3,0,0.9,1.6,5.2,
322,Kenrich Williams,31,OKC,PF,5,0,14.2,2,3.6,0.556,0.8,1.6,0.5,1.2,2,0.6,0.667,0.4,0.4,1,0.2,2,2.2,1.4,0,0,0.4,1.2,5.2,
323,Micah Peavy,24,NOP,SG,19,1,16.5,2.1,5.1,0.412,0.3,1.6,0.194,1.8,3.5,0.515,0.443,0.5,0.7,0.714,1.2,1.4,2.6,1.1,0.6,0.1,0.5,1.8,5.1,
324,Matisse Thybulle,28,POR,SG,4,0,12.3,1.5,2.5,0.6,1,1.5,0.667,0.5,1,0.5,0.8,1,1,1,0,1,1,0.8,2.5,0,0.3,1.8,5,
325,Tony Bradley,28,IND,C,21,3,11.8,2,3.3,0.586,0,0,0,2,3.3,0.594,0.586,1,1.4,0.724,1.6,1,2.7,0.6,0.1,0.2,0.4,2.1,4.9,
