Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,"VORP
▼",Awards
144,Luka Garza,27,BOS,C,19,1,249,19.5,0.687,0.357,0.443,16.8,12.4,14.6,8.1,1.2,3.3,8.7,15.8,1,0.2,1.2,0.231,1.5,0.1,1.6,0.2,
145,Peyton Watson,23,DEN,SF,22,12,596,13.6,0.594,0.36,0.25,5.2,15,10.4,8,1.7,4.1,11.6,15.4,0.6,0.7,1.3,0.104,-0.5,0,-0.5,0.2,
146,Clint Capela,31,HOU,C,19,0,208,21.3,0.585,0,0.269,26.5,21.8,24.1,5,2.1,6.4,12.1,13.1,0.5,0.4,1,0.22,1.9,0.5,2.3,0.2,
147,Tobias Harris,33,DET,PF,14,14,416,13.4,0.574,0.41,0.261,3.5,15,9.3,11.4,0.7,0.9,8.2,19.2,0.6,0.4,1,0.119,0.6,-0.5,0.1,0.2,
148,Paul George,35,PHI,PF,7,7,163,19.1,0.545,0.482,0.265,2,21,11.5,21.1,3.5,1.7,9.7,26.4,0.1,0.3,0.4,0.121,1.8,1.9,3.7,0.2,
149,Aaron Wiggins,27,OKC,SG,12,5,310,14.7,0.589,0.534,0.084,4.2,9.4,7,12.5,1.1,2.6,8.7,20.9,0.3,0.5,0.9,0.134,1.3,-0.4,0.9,0.2,
150,Dyson Daniels,22,ATL,SG,24,24,813,12.9,0.51,0.153,0.144,7,13.2,10.1,23.2,3.1,0.9,18.2,16,0.2,1.2,1.3,0.077,-2.6,1.6,-1,0.2,
151,Brandin Podziemski,22,GSW,SG,23,11,643,12.8,0.563,0.493,0.258,2.5,15.7,9,15.7,2.1,0.7,11.6,18.6,0.4,0.8,1.2,0.09,-1.5,0.7,-0.8,0.2,
152,Jamal Shead,23,TOR,PG,24,0,459,12.9,0.511,0.538,0.333,2.2,7.7,5,33.6,3,0.4,16.8,14.8,0.5,0.6,1.1,0.116,-1.4,1.1,-0.3,0.2,
153,Ayo Dosunmu,26,CHI,SG,19,6,529,15.8,0.659,0.377,0.265,1.4,8.3,5,16.2,1,0.8,10.6,20,1,0.2,1.2,0.109,0.8,-1.2,-0.4,0.2,
154,DeMar DeRozan,36,SAC,PF,22,22,718,16.4,0.595,0.156,0.365,1.5,8.7,5,15.8,1.8,0.5,7,21.3,1.2,0.2,1.4,0.091,-0.2,-0.6,-0.8,0.2,
155,Vince Williams Jr.,25,MEM,PG,18,10,406,11.5,0.464,0.552,0.196,4.2,17.4,10.8,34.7,2,2.3,20.9,20.2,-0.4,0.5,0.2,0.023,-1.8,1.7,-0.1,0.2,
156,Walker Kessler,24,UTA,C,5,5,154,20.7,0.786,0.216,0.541,16.1,22.4,19.2,14.5,2.1,5.6,25.9,16.4,0.3,0.2,0.5,0.149,1.4,1.8,3.2,0.2,
157,Joel Embiid,31,PHI,C,8,8,195,20.1,0.553,0.316,0.395,5.6,18.7,12.1,21.6,1.5,5.2,13.6,33.3,0.1,0.3,0.3,0.081,1.2,0.8,2,0.2,
158,Landry Shamet,28,NYK,SG,15,6,314,13.1,0.644,0.71,0.366,2.4,8.5,5.3,7.4,0.9,1,6.1,15.3,0.7,0.2,0.9,0.139,1.1,-0.7,0.4,0.2,
159,Gary Payton II,33,GSW,SG,22,1,265,14.6,0.56,0.3,0.038,8.5,20.5,14.4,21.5,2.2,2.1,14.7,15.2,0.3,0.4,0.7,0.129,-1.3,2.1,0.8,0.2,
160,Derrick Jones Jr.,28,LAC,SF,13,13,324,14.6,0.652,0.5,0.304,3.9,7,5.5,6.5,1.7,4.5,8.7,15.4,0.5,0.2,0.7,0.104,0.5,-0.3,0.3,0.2,
161,Aaron Holiday,29,HOU,PG,15,0,247,13.1,0.63,0.685,0.281,0.9,5.2,3.2,10.3,1.4,0.8,11.5,18.8,0.5,0.2,0.7,0.145,1,0,1,0.2,
